request arrival cycle, request accepted cycle, ptw_idx, npu_idx
41449, 42249, 2, 0
41449, 42249, 3, 0
41449, 42249, 4, 0
41449, 42249, 5, 0
41449, 42249, 6, 0
41449, 42249, 7, 0
41449, 42649, 0, 0
41449, 42649, 1, 0
41449, 42649, 2, 0
41449, 42649, 3, 0
41449, 42649, 4, 0
41449, 42649, 5, 0
41449, 42649, 6, 0
41449, 42649, 7, 0
41449, 43049, 0, 0
41449, 43049, 1, 0
41449, 43049, 2, 0
41449, 43049, 3, 0
41449, 43049, 4, 0
41449, 43049, 5, 0
41449, 43049, 6, 0
41449, 43049, 7, 0
41449, 43449, 0, 0
41449, 43449, 1, 0
41449, 43449, 2, 0
41449, 43449, 3, 0
41449, 43449, 4, 0
41449, 43449, 5, 0
41449, 43449, 6, 0
41449, 43449, 7, 0
41449, 43849, 0, 0
41449, 43849, 1, 0
41449, 43849, 2, 0
41449, 43849, 3, 0
41449, 43849, 4, 0
41449, 43849, 5, 0
41449, 43849, 6, 0
41449, 43849, 7, 0
41449, 44249, 0, 0
41449, 44249, 1, 0
41449, 44249, 2, 0
41449, 44249, 3, 0
41449, 44249, 4, 0
41449, 44249, 5, 0
41449, 44249, 6, 0
41449, 44249, 7, 0
41449, 44649, 0, 0
41449, 44649, 1, 0
41449, 44649, 2, 0
41449, 44649, 3, 0
41449, 44649, 4, 0
41449, 44649, 5, 0
41449, 44649, 6, 0
41449, 44649, 7, 0
41449, 45049, 0, 0
41449, 45049, 1, 0
41449, 45049, 2, 0
41449, 45049, 3, 0
41449, 45049, 4, 0
41449, 45049, 5, 0
41449, 45049, 6, 0
41449, 45049, 7, 0
41449, 45449, 0, 0
41449, 45449, 1, 0
41449, 45449, 2, 0
41449, 45449, 3, 0
41449, 45449, 4, 0
41449, 45449, 5, 0
41449, 45449, 6, 0
41449, 45449, 7, 0
41449, 45849, 0, 0
41449, 45849, 1, 0
41449, 45849, 2, 0
41449, 45849, 3, 0
41449, 45849, 4, 0
41449, 45849, 5, 0
41449, 45849, 6, 0
41449, 45849, 7, 0
41449, 46249, 0, 0
41449, 46249, 1, 0
41449, 46249, 2, 0
41449, 46249, 3, 0
41449, 46249, 4, 0
41449, 46249, 5, 0
41449, 46249, 6, 0
41449, 46249, 7, 0
41449, 46649, 0, 0
41449, 46649, 1, 0
41449, 46649, 2, 0
41449, 46649, 3, 0
41449, 46649, 4, 0
41449, 46649, 5, 0
